"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"18","RT @LemiIIion10: #RemoveChinaApps #BoycottChineseProducts #BoycottMadeInChina 
These apps are the best alternative of Chinese app currently…",FALSE,0,NA,2020-06-02 23:05:28,FALSE,NA,"1267955521199509513",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","amibajpal",1,TRUE,FALSE,NA,NA
"19","RT @Shanice3195: Set aside 9 minutes of your time and watch this today! #BoycottMadeInChina 
https://t.co/wjCMyoSYyS https://t.co/hlETX0myJI",FALSE,0,NA,2020-06-02 23:04:49,FALSE,NA,"1267955358531612672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VamsiKr23437441",195,TRUE,FALSE,NA,NA
"20","RT @iJayGore: #BoycottMadeInChina 

Software in a week,
Hardware in a year,

starting today...

#BoycottChineseProducts https://t.co/7bHQqk…",FALSE,0,NA,2020-06-02 23:04:34,FALSE,NA,"1267955295101177861",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VamsiKr23437441",151,TRUE,FALSE,NA,NA
"21","RT @satendras601: #BoycottMadeInChina 

Use alternative of Chines product https://t.co/ZOlaNbvGkh",FALSE,0,NA,2020-06-02 23:04:17,FALSE,NA,"1267955225966469120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VamsiKr23437441",72,TRUE,FALSE,NA,NA
"22","RT @ReshmaRanaHr: #BoycottMadeInChina
Software with in week
Hardware with in a year
Be a part of change<U+0001F64F><U+0001F3FB><U+0001F6A9> https://t.co/sZ2uWvTdTu",FALSE,0,NA,2020-06-02 23:03:12,FALSE,NA,"1267954950371328000",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VamsiKr23437441",124,TRUE,FALSE,NA,NA
"23","RT @SouravMsd: @NorbertElekes no need this app ..one can uninstall chinese app by yourself...if anyone don't know which app is chinese then…",FALSE,0,NA,2020-06-02 22:56:52,FALSE,NA,"1267953356431151105",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RobinKasana",6,TRUE,FALSE,NA,NA
"24","RT @GaneshJaiHind: Tibet belongs to China

Arunachal belongs to China

Sikkim belongs to China

Hong Kong belongs to China

Taiwan belongs…",FALSE,0,NA,2020-06-02 22:56:24,FALSE,NA,"1267953239649116161",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Dee45490051",1187,TRUE,FALSE,NA,NA
"25","RT @MODIfiedVikas: I found this app 'Remove China App' really useful. It scans and removes any Chinese app. Remember, each Chinese app is s…",FALSE,0,NA,2020-06-02 22:54:42,FALSE,NA,"1267952813889343490",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Shivam403Shivam",3147,TRUE,FALSE,NA,NA
"26","RT @Wangchuk66: USE YOUR WALLET POWER
#BoycottMadeInChina #SoftwareInAWeekHardwareInAYear to stop Chinese bullying in Ladakh &amp; eventually t…",FALSE,0,NA,2020-06-02 22:54:31,FALSE,NA,"1267952765168431104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SFGborivali",16229,TRUE,FALSE,NA,NA
"27","@ATVI_AB What about #FightForFreedomStandWithHongKong #VivaTaiwan #FreeTibet #StandwithUyghurs and others that are… https://t.co/mXySicsbzX",FALSE,3,"ATVI_AB",2020-06-02 22:46:15,TRUE,"1267300339104968709","1267950685120679936","753670706311815169","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Winston04941825",0,FALSE,FALSE,NA,NA
"28","RT @RituChaudhary37: Our soldiers do so much for us, can't we just uninstall chinese apps to support our soldiers, to support our economy,…",FALSE,0,NA,2020-06-02 22:43:15,FALSE,NA,"1267949932411060225",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","imrankh75044778",2,TRUE,FALSE,NA,NA
"29","RT @MODIfiedVikas: I found this app 'Remove China App' really useful. It scans and removes any Chinese app. Remember, each Chinese app is s…",FALSE,0,NA,2020-06-02 22:40:32,FALSE,NA,"1267949246512132098",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","itsgrapevine",3147,TRUE,FALSE,NA,NA
"30","RT @o2satnam_jassal: Here comes Mirazh with an outstanding offer and product for more exciting offers visit https://t.co/d8VuvJSGko

 #self…",FALSE,0,NA,2020-06-02 22:38:53,FALSE,NA,"1267948831250972673",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","stinkal541",6,TRUE,FALSE,NA,NA
"31","RT @JoyGupta1992: Stop using Chinese product #BoycottChina #BoycottChineseProducts #BoycottChineseApp 
#BoycottMadeInChina https://t.co/2qA…",FALSE,0,NA,2020-06-02 22:37:33,FALSE,NA,"1267948497120026626",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","tegrazero",1,TRUE,FALSE,NA,NA
"32","Remove Chinese software in a week 
Remove Chinese product in a year
China ko jawaab 
https://t.co/mc4cDh66Zm… https://t.co/jc0QHlFP5X",FALSE,1,NA,2020-06-02 22:36:24,TRUE,NA,"1267948205955670017",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","abhinav67264247",0,FALSE,FALSE,NA,NA
"33","RT @HumorousHack: Are you willing to #BoycottMadeInChina products? I am :)

May be it will make our life a bit difficult but the pride, sov…",FALSE,0,NA,2020-06-02 22:36:00,FALSE,NA,"1267948105007132672",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","tegrazero",504,TRUE,FALSE,NA,NA
"34","Stop using Chinese product #BoycottChina #BoycottChineseProducts #BoycottChineseApp 
#BoycottMadeInChina https://t.co/2qAjVgKOuf",FALSE,1,NA,2020-06-02 22:34:57,FALSE,NA,"1267947842078941185",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JoyGupta1992",1,FALSE,FALSE,NA,NA
"35","RT @SureshNakhua: #BoycottChineseProducts #BoycottMadeInChina

'Remove China App' app was really useful in identifying Chinese apps.

Unfor…",FALSE,0,NA,2020-06-02 22:34:39,FALSE,NA,"1267947765239353346",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DolphinPubli",63,TRUE,FALSE,NA,NA
"36","RT @NewscastGlobal: #SonamWangchuk's appeal to #BoycottMadeInChina receives a huge response.
https://t.co/8j9Dm47TWH https://t.co/FiMSbEUtVh",FALSE,0,NA,2020-06-02 22:32:06,FALSE,NA,"1267947125012230145",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sharad2025",14,TRUE,FALSE,NA,NA
"37","RT @BhaveshKumarJo7: #BoycottMadeInChina some Application 
#Helo #SHAREit #TikTok #Kwai #UCBrowser #UCBrowserMini #LiveMe
#BigoLive #VigoVi…",FALSE,0,NA,2020-06-02 22:31:25,FALSE,NA,"1267946951300935680",NA,"<a href=""http://decotiismauro.ml"" rel=""nofollow"">Twitcher_jtn</a>","Jimmy_the_Newb",1,TRUE,FALSE,NA,NA
"38","RT @HumorousHack: Are you willing to #BoycottMadeInChina products? I am :)

May be it will make our life a bit difficult but the pride, sov…",FALSE,0,NA,2020-06-02 22:30:24,FALSE,NA,"1267946698082582534",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RushabhPadol",504,TRUE,FALSE,NA,NA
"39","Remove Chinese software in a week 
Remove Chinese product in a year
https://t.co/4HQ14YZLxt

#boycottChineseProduct
#BoycottMadeInChina",FALSE,1,NA,2020-06-02 22:29:55,FALSE,NA,"1267946575839428609",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","abhinav67264247",0,FALSE,FALSE,NA,NA
"40","RT @sherickp: @onetouchapplabs Watch This!!
3 Reasons I uninstalled all chinese apps... (I used ""Remove China App"")
Link- https://t.co/qEy6…",FALSE,0,NA,2020-06-02 22:29:07,FALSE,NA,"1267946373837721602",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","amitmotwani68",1,TRUE,FALSE,NA,NA
"41","RT @MODIfiedVikas: I found this app 'Remove China App' really useful. It scans and removes any Chinese app. Remember, each Chinese app is s…",FALSE,0,NA,2020-06-02 22:29:00,FALSE,NA,"1267946345664561161",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","amitmotwani68",3147,TRUE,FALSE,NA,NA
"42","RT @HumorousHack: Are you willing to #BoycottMadeInChina products? I am :)

May be it will make our life a bit difficult but the pride, sov…",FALSE,0,NA,2020-06-02 22:27:45,FALSE,NA,"1267946032010334208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ridgwayqu1",504,TRUE,FALSE,NA,NA
"43","RT @MODIfiedVikas: I found this app 'Remove China App' really useful. It scans and removes any Chinese app. Remember, each Chinese app is s…",FALSE,0,NA,2020-06-02 22:27:37,FALSE,NA,"1267945998501863424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NinadVaidya80",3147,TRUE,FALSE,NA,NA
"44","RT @Wangchuk66: USE YOUR WALLET POWER
#BoycottMadeInChina #SoftwareInAWeekHardwareInAYear to stop Chinese bullying in Ladakh &amp; eventually t…",FALSE,0,NA,2020-06-02 22:25:29,FALSE,NA,"1267945460641087488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RupaliWaghchou3",16229,TRUE,FALSE,NA,NA
"45","RT @PCDroidMi: Remove Chinese software in a week 
Remove Chinese product in a year
https://t.co/eP1JwgLqK6

#boycottChineseProduct
#boycott…",FALSE,0,NA,2020-06-02 22:24:42,FALSE,NA,"1267945262942531586",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","abhinav67264247",52,TRUE,FALSE,NA,NA
"46","RT @MODIfiedVikas: I found this app 'Remove China App' really useful. It scans and removes any Chinese app. Remember, each Chinese app is s…",FALSE,0,NA,2020-06-02 22:21:15,FALSE,NA,"1267944395036397568",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Anand9576868680",3147,TRUE,FALSE,NA,NA
